Name,Date,Température,hémudité
Adrar,2021/7/1,39.1,8.25
Adrar,2021/7/2,38.72,7.25
Adrar,2021/7/3,39.22,7.5
Adrar,2021/7/4,40.21,7.81
Adrar,2021/7/5,39.34,8.31
Adrar,2021/7/6,39.73,7.19
Adrar,2021/7/7,38.55,10.12
Adrar,2021/7/8,38.23,12.88
Adrar,2021/7/9,37.32,13.25
Adrar,2021/7/10,38.58,12.88
Adrar,2021/7/11,38.97,14.44
Adrar,2021/7/12,37.85,16.19
Adrar,2021/7/13,38.64,11.88
Adrar,2021/7/14,34.84,24.44
Adrar,2021/7/15,36.47,24.94
Adrar,2021/7/16,36.79,21.62
Adrar,2021/7/17,35.03,26.19
Adrar,2021/7/18,35.16,22.19
Adrar,2021/7/19,35.74,18.69
Adrar,2021/7/20,35.3,19.75
Adrar,2021/7/21,34.58,21.5
Adrar,2021/7/22,35.46,21.75
Adrar,2021/7/23,35.47,21.31
Adrar,2021/7/24,35.36,15.75
Adrar,2021/7/25,35.3,12.56
Adrar,2021/7/26,34.58,12.75
Adrar,2021/7/27,34.94,14.25
Adrar,2021/7/28,34.93,16.62
Adrar,2021/7/29,34.76,14.38
Adrar,2021/7/30,35.78,11.75
Adrar,2021/7/31,36.72,11.69
Adrar,2021/7/31,36.61,2.75

Chlef,2021/7/1,11.66,27.23
Chlef,2021/7/2,10.07,27.94
Chlef,2021/7/3,8.91,29.75
Chlef,2021/7/4,7.14,29.16
Chlef,2021/7/5,7.26,30.26
Chlef,2021/7/6,8.0,29.8
Chlef,2021/7/7,10.25,27.59
Chlef,2021/7/8,12.63,27.62
Chlef,2021/7/9,12.39,29.78
Chlef,2021/7/10,11.66,31.3
Chlef,2021/7/11,9.28,35.47
Chlef,2021/7/12,8.97,30.96
Chlef,2021/7/13,10.56,26.74
Chlef,2021/7/14,9.16,26.08
Chlef,2021/7/15,10.74,26.4
Chlef,2021/7/16,9.22,27.48
Chlef,2021/7/17,7.75,30.48
Chlef,2021/7/18,9.7,27.94
Chlef,2021/7/19,8.85,28.87
Chlef,2021/7/20,10.13,28.88
Chlef,2021/7/21,8.0,31.9
Chlef,2021/7/22,9.03,31.3
Chlef,2021/7/23,8.3,33.38
Chlef,2021/7/24,7.69,34.62
Chlef,2021/7/25,7.02,30.69
Chlef,2021/7/26,10.25,27.12
Chlef,2021/7/27,12.45,28.26
Chlef,2021/7/28,11.6,30.05
Chlef,2021/7/29,11.72,30.51
Chlef,2021/7/30,10.62,33.83
Chlef,2021/7/31,7.69,31.09

Laghouat,2021/7/1,13.56,35.47
Laghouat,2021/7/2,16.0,35.23
Laghouat,2021/7/3,13.88,35.38
Laghouat,2021/7/4,15.25,34.91
Laghouat,2021/7/5,12.38,34.88
Laghouat,2021/7/6,9.69,35.8
Laghouat,2021/7/7,16.94,34.08
Laghouat,2021/7/8,20.44,32.97
Laghouat,2021/7/9,12.69,33.97
Laghouat,2021/7/10,12.5,35.24
Laghouat,2021/7/11,13.0,36.37
Laghouat,2021/7/12,16.56,35.23
Laghouat,2021/7/13,18.62,32.48
Laghouat,2021/7/14,32.69,29.71
Laghouat,2021/7/15,24.62,31.36
Laghouat,2021/7/16,26.69,32.32
Laghouat,2021/7/17,19.0,32.0
Laghouat,2021/7/18,21.94,32.44
Laghouat,2021/7/19,27.19,29.65
Laghouat,2021/7/20,22.31,30.15
Laghouat,2021/7/21,21.19,30.65
Laghouat,2021/7/22,19.75,32.37
Laghouat,2021/7/23,17.31,32.83
Laghouat,2021/7/24,19.88,32.88
Laghouat,2021/7/25,17.88,33.62
Laghouat,2021/7/26,23.19,31.63
Laghouat,2021/7/27,22.31,31.13
Laghouat,2021/7/28,15.44,32.22
Laghouat,2021/7/29,14.5,33.48
Laghouat,2021/7/30,12.5,34.26
Laghouat,2021/7/31,17.5,34.57

Oum El Bouaghi,2021/7/1,7.26,30.31
Oum El Bouaghi,2021/7/2,7.39,30.94
Oum El Bouaghi,2021/7/3,7.02,31.62
Oum El Bouaghi,2021/7/4,6.23,32.01
Oum El Bouaghi,2021/7/5,6.9,29.69
Oum El Bouaghi,2021/7/6,6.84,32.65
Oum El Bouaghi,2021/7/7,8.18,30.62
Oum El Bouaghi,2021/7/8,9.03,28.82
Oum El Bouaghi,2021/7/9,10.13,28.54
Oum El Bouaghi,2021/7/10,8.36,30.62
Oum El Bouaghi,2021/7/11,7.26,30.87
Oum El Bouaghi,2021/7/12,7.26,33.43
Oum El Bouaghi,2021/7/13,9.89,27.53
Oum El Bouaghi,2021/7/14,9.52,23.19
Oum El Bouaghi,2021/7/15,9.22,25.83
